press,title,tokenized
경향신문,인프라 부족..성장 더딘 전기차,"['인프라', '부족', '성장', '전기차']"
머니투데이,코나 820만원·랜드로버 605만원..전기차 보조금 양극화,"['코', '랜드로버', '전기차', '보조금', '양극화']"
연합뉴스,"정의선 ""2025년 전기차 점유율 10% 이상..글로벌 리더될 것""(종합)","['정의선', '전기차', '점유', '율', '이상', '글로벌', '리더', '것', '종합']"
연합뉴스,올해 수입 전기차 판매 4배로 늘어..내년 신차 경쟁 본격화,"['올해', '수입', '전기차', '판매', '배', '내년', '신차', '경쟁', '본격']"
매일경제,전기차 올라탄 한온..영업익 5천억 '시동',"['전기차', '온', '영업', '익', '시동']"
연합뉴스,SK 최태원-현대차 정의선 이번주 만난다..'전기차 회동' 마무리,"['최태원', '현대차', '정의선', '이번', '주', '전기차', '회', '마무리']"
연합뉴스,일본 전기차 차세대배터리 집중지원..한·중과 경쟁 가속,"['일본', '전기차', '차세대', '배터리', '집중', '지원', '중과', '경쟁', '가속']"
일간스포츠,중고 가격 보장에 자체 보조금까지..뜨거워지는 전기차 시장,"['중고', '가격', '보장', '자체', '보조금', '전기차', '시장']"
연합뉴스,'전기차 결함' 신고 4년 새 46배 급증..조사 인프라 확충 시급,"['전기차', '결함', '신고', '새', '배', '급증', '조사', '인프라', '확충', '시급']"
국민일보,하반기 전기차 판매 경쟁 후끈 달아오른다,"['하반기', '전기차', '판매', '경쟁', '후끈']"
연합뉴스,"""10년 내 전기차를 대세로""..테슬라 참여 미 로비단체 출범","['내', '전기차', '대세', '테슬라', '참여', '로비', '단체', '출범']"
뉴시스,"현대·기아차, 전기차 수출 '활짝'..전년比 128% ↑","['현대', '기아차', '전기차', '수출', '활짝', '년']"
경향신문,2025년까지 '반값 전기차' 나온다,"['반값', '전기차']"
데일리안,"""韓 전기차 경쟁력 높이려면 R&D 투자 늘려야 ""","['전기차', '경쟁력', '투자']"
연합뉴스,중국 전기차 강력 드라이브..2025년 판매 20% 친환경차로,"['중국', '전기차', '강력', '드라이브', '판매', '친환경', '차로']"
연합뉴스,"인니 산업부 장관 ""LG화학, 전기차 시범사업 참여 기대""","['인니', '산업부', '장관', '화학', '전기차', '시범', '사업', '참여', '기대']"
파이낸셜뉴스,"""테슬라 잡아라"".. GM·포드·닛산, 전기차 액셀 밟는다","['테슬라', '포드', '닛산', '전기차', '액셀']"
연합뉴스,"[발언대] ""전기차보급 목표는 제주의 첨단 제조업 육성""","['발언', '전기차', '보급', '목표', '제주', '첨단', '제조업', '육성']"
한국경제,"""테슬라 잡아라""..中 전기차 스타트업 大戰","['테슬라', '전기차', '스타트업']"
뉴시스,현대차 차세대 전기차 브랜드명은 '아이오닉'..첫차 '포니' 재해석,"['현대차', '차세대', '전기차', '브랜드', '아이오', '닉', '차', '포니', '재', '해석']"
문화일보,"소형·준중형급 넘어.. 프리미엄 전기차, 고품격 유혹","['소형', '준', '중형', '프리미엄', '전기차', '고품격', '유혹']"
KBS,[테크톡] 애플 '아이카'?..소식에 전기차 시장 '흔들',"['테크', '톡', '애플', '아이카', '소식', '전기차', '시장']"
JTBC,"[발품경제] 불 나고, 혜택 줄고..'전기차 사도 될까요?'","['발품', '경제', '불', '혜택', '줄', '전기차', '사도', '요']"
뉴시스,"구광모 만난 정의선, '전기차 배터리' 협력 모색","['구광모', '만난', '정의선', '전기차', '배터리', '협력', '모색']"
MBC,"""3년 뒤 반값 전기차""..100만 마일 배터리는 없었다","['뒤', '반값', '전기차', '마일', '배터리']"
뉴시스,전기차 보급 11만 시대..급속 충전소 등 '인프라 '부족',"['전기차', '보급', '시대', '급속', '충전', '소', '등', '인프라', '부족']"
지디넷코리아,"환경부 ""고가 전기차 보조금 제외, 테슬라 겨냥 아니다""","['환경부', '고가', '전기차', '보조금', '제외', '테슬라', '겨냥']"
전자신문,전기차 국가 보조금 최대 820만원..차상위층 10% 추가 지원,"['전기차', '국가', '보조금', '최대', '차', '위층', '추가', '지원']"
조선비즈,"[시승기] 볼트EV, 대중 전기차 주행거리 400km 시대 열다","['승기', '볼트', '대중', '전기차', '주행', '거리', '시대']"
머니투데이,"전기차 보조금, 단순히 '비싼차' 뺀다고 테슬라 추월 못한다","['전기차', '보조금', '차', '테슬라', '추월']"
주간경향,전기차 시대 가속도 붙었다,"['전기차', '시대', '가속도']"
연합뉴스,현대차 정의선-LG 구광모도 만난다..전기차 동맹 확대(종합),"['현대차', '정의선', '구광모', '전기차', '동맹', '확대', '종합']"
전자신문,[이슈분석]고성능·고효율 '전기차' 新시장 열린다,"['이슈', '분석', '고성능', '효율', '전기차', '시장', '린다']"
지디넷코리아,"불만 쌓이는 코나 전기차 리콜..""일주일 대기""","['불만', '코', '전기차', '리콜', '일주일', '대기']"
지디넷코리아,스타필드 고양 전기차 충전소에 일반차도 주차하세요?,"['스타', '필드', '고양', '전기차', '충전', '소', '일반', '차도', '주차']"
노컷뉴스,'도요타 쫓는 기아차'..한국 전기차·배터리 모두 날았다,"['도요타', '기아차', '한국', '전기차', '배터리', '모두']"
전자신문,[기고]전기차 산업의 데이터 가치,"['기고', '전기차', '산업', '데이터', '가치']"
매일경제,[글로벌 트렌드] 66억 美슈퍼볼 30초광고에..전기차도 달려왔다,"['글로벌', '트렌드', '슈퍼볼', '전기차']"
조선비즈,"불난 '코나 전기차' 결국 리콜..국토부 ""배터리 분리막 결함""","['불', '코', '전기차', '리콜', '국토부', '배터리', '분리', '막', '결함']"
연합뉴스,현대차 넥쏘 국내 판매 1만대 돌파..수소전기차 대중화 성큼,"['현대차', '넥쏘', '국내', '판매', '돌파', '수소', '전기차', '대중화', '성큼']"
연합뉴스,시공간 제약 없이 전기차 충전하도록..기아차 '온디맨드 서비스',"['시공간', '제약', '전기차', '충전', '기아차', '온디맨드', '서비스']"
연합뉴스,"GM, 중국에 첫 완전 전기차 출시..테슬라에 도전장","['중국', '첫', '완전', '전기차', '출시', '테슬라', '도전']"
